POST. DATE, TRANSACTION, TAG/LICENSE, ENTRY DATE, ENTRY PLAZA, EXIT DATE, EXIT PLAZA, CLASS, AMOUNT
9/12/2022 12:43:48 AM, AWAY AGENCY TOLL,00605944404,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 2:45:17 AM,Virginia DOT - 118,5  ,19.75
9/12/2022 12:43:48 AM, AWAY AGENCY TOLL,00605944404,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 2:33:52 AM,Virginia DOT - 077,5  ,9
9/12/2022 12:43:48 AM, AWAY AGENCY TOLL,00605944404,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 4:03:21 AM,Virginia DOT - 101,3  ,13.5
9/12/2022 12:43:48 AM, AWAY AGENCY TOLL,00605944404,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 4:14:44 AM,Virginia DOT - 078,3  ,6.5
9/12/2022 12:44:02 AM, AWAY AGENCY TOLL,00605944441,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 7:15:50 AM,Virginia DOT - CBS,12 ,43
9/12/2022 12:44:10 AM, AWAY AGENCY TOLL,00605942652,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 8:53:50 PM,Virginia DOT - 077,5  ,9
9/12/2022 12:44:16 AM, AWAY AGENCY TOLL,00605942652,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 9:06:24 PM,Virginia DOT - 118,5  ,19.75
9/12/2022 12:44:32 AM, AWAY AGENCY TOLL,00605944441,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 8:41:13 AM,Virginia DOT - DWB,5  ,5.8
9/12/2022 12:44:37 AM, AWAY AGENCY TOLL,00605944441,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 2:06:37 PM,Virginia DOT - DEB,5  ,5.8
9/12/2022 12:44:39 AM, AWAY AGENCY TOLL,00605942652,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 9:39:06 PM,Virginia DOT - 101,5  ,19.75
9/12/2022 12:44:39 AM, AWAY AGENCY TOLL,00605942652,1/1/0001 12:00:00 AM,Virginia DOT - ***,9/10/2022 9:51:52 PM,Virginia DOT - 078,5  ,9
9/12/2022 12:46:31 AM, AWAY AGENCY TOLL,00605944407,1/1/0001 12:00:00 AM,Delaware River and Bay Authority - ***,9/10/2022 10:50:21 PM,Delaware River and Bay Authority - DMB,005,35
9/12/2022 12:46:31 AM, AWAY AGENCY TOLL,00605944405,1/1/0001 12:00:00 AM,Delaware River and Bay Authority - ***,9/10/2022 11:07:07 PM,Delaware River and Bay Authority - DMB,005,35
9/12/2022 12:46:31 AM, AWAY AGENCY TOLL,00605944422,1/1/0001 12:00:00 AM,Delaware River and Bay Authority - ***,9/10/2022 8:30:53 PM,Delaware River and Bay Authority - DMB,005,35
9/12/2022 12:46:32 AM, AWAY AGENCY TOLL,00605944427,1/1/0001 12:00:00 AM,Delaware River and Bay Authority - ***,9/10/2022 9:24:07 PM,Delaware River and Bay Authority - DMB,005,35
9/12/2022 12:46:32 AM, AWAY AGENCY TOLL,00605944449,1/1/0001 12:00:00 AM,Delaware River and Bay Authority - ***,9/10/2022 8:57:03 PM,Delaware River and Bay Authority - DMB,005,35
9/12/2022 12:46:32 AM, AWAY AGENCY TOLL,00605944416,1/1/0001 12:00:00 AM,Delaware River and Bay Authority - ***,9/10/2022 8:52:42 PM,Delaware River and Bay Authority - DMB,005,35
9/12/2022 12:46:33 AM, AWAY AGENCY TOLL,00605942669,1/1/0001 12:00:00 AM,Delaware River and Bay Authority - ***,9/10/2022 9:44:08 PM,Delaware River and Bay Authority - DMB,005,35
9/12/2022 12:54:18 AM, AWAY AGENCY TOLL,00605942440,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 1:01:22 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:18 AM, AWAY AGENCY TOLL,00605944428,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 1:37:59 PM,Delaware DOT - D95,3  ,6
9/12/2022 12:54:18 AM, AWAY AGENCY TOLL,00605942658,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 12:29:08 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:19 AM, AWAY AGENCY TOLL,00605944405,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 5:24:27 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:19 AM, AWAY AGENCY TOLL,00605944453,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 6:53:43 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:19 AM, AWAY AGENCY TOLL,00605944428,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 1:57:37 AM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:19 AM, AWAY AGENCY TOLL,00605942440,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 2:57:05 PM,Delaware DOT - D95,5  ,9
9/12/2022 12:54:19 AM, AWAY AGENCY TOLL,00605944421,1/1/0001 12:00:00 AM,Delaware DOT - ***,9/8/2022 1:08:34 AM,Delaware DOT - D95,5  ,9
